Longitude,Latitude,Cross Section
119.02,31.621,South of Wugui Mountain
118.75,32.033,Xuhuxin Lake
120.47,31.671,Xidong Water Plant
120.14,31.406,Tuoshan Mountain
118.9,33.597,Wulihuxin Lake
119.89,31.212,Lanshanzui
120.23,31.399,Wuxi Shazhu
120.22,31.132,Suzhou Xishan
118.73,31.955,South of Wugui Mountain
120.11,31.233,Pingtai Mountain
119.91,31.211,Lanshanzui (old)
120.6,30.03,Xiangjiadang Lake
