epoch,train_loss,test_loss
75,1747539859753252.5,1357616009707520.0
76,1835694140199497.2,1357616009707520.0
77,1789748140347977.2,1357616009707520.0
78,1744051879542784.0,1357616009707520.0
79,1753694045770313.2,1357616009707520.0
80,1743251255815606.8,1357616009707520.0
81,1754132102475190.8,1357616009707520.0
82,1752914353417654.8,1357616009707520.0
83,1759990824941275.5,1357616009707520.0
84,1749211817181184.0,1357616009707520.0
85,1819050974155337.2,1357616009707520.0
86,1795386450940489.2,1357616009707520.0
87,1777438855753142.8,1357616009707520.0
88,1806769460646473.2,1357616009707520.0
89,1742786485588553.2,1357616009707520.0
90,1794429527673124.5,1357616009707520.0
91,1775800234054217.2,1357616009707520.0
92,1742887682759533.8,1357616009707520.0
93,1758724985192448.0,1357616009707520.0
94,1926969809698816.0,1357616009707520.0
95,1852104086164041.2,1357616009707520.0
96,1791821389608667.5,1357616009707520.0
97,1852078021560612.5,1357616009707520.0
98,1826971192243931.5,1357616009707520.0
99,1747214172047652.5,1357616009707520.0
100,1764806911740196.5,1357616009707520.0
101,1789388149227520.0,1357616009707520.0
102,1747989771957979.5,1357616009707520.0
103,1787424409649152.0,1357616009707520.0
104,2198229273804800.0,1357616009707520.0
105,1790362743696822.8,1357616009707520.0
106,1777876550549504.0,1357616009707520.0
107,2088646998865627.5,1357616009707520.0
108,1836991785954742.8,1357616009707520.0
109,1765409343218834.2,1357616009707520.0
110,1809021167356196.5,1357616009707520.0
111,1766116532832548.5,1357616009707520.0
112,1748929971936109.8,1357616009707520.0
113,1760435720758418.2,1357616009707520.0
114,1856460108145810.2,1357616009707520.0
115,1874660177065691.5,1357616009707520.0
116,1797261778185654.8,1357616009707520.0
117,1836836850761728.0,1357616009707520.0
118,1762229438831469.8,1357616009707520.0
119,1824118175133110.8,1357615971359597.8
120,1744053520114834.2,1357615933011675.5
121,1781721461236882.2,1357615894663753.2
122,1754528956734317.8,1357615894663753.2
123,1740827205454116.5,1357615894663753.2
124,1771702010773504.0,1357615894663753.2
125,1750487982108086.8,1357615894663753.2
126,1764896166529316.5,1357615894663753.2
127,1771263027726628.5,1357615894663753.2
128,1812073941190948.5,1357615894663753.2
129,2063740205493686.8,1357615894663753.2
130,1809850120011776.0,1357615894663753.2
131,1756194295550537.2,1357615894663753.2
132,1850999634844525.8,1357615894663753.2
133,1978673234781330.2,1357615894663753.2
134,1750411312627712.0,1357615894663753.2
135,1778095762252946.2,1357615894663753.2
136,2026456913805312.0,1357615894663753.2
137,1803318144045641.2,1357615894663753.2
138,1800893460643840.0,1357615894663753.2
139,1770052565972699.5,1357615894663753.2
140,1789213766844416.0,1357615894663753.2
141,1774164323673234.2,1357615894663753.2
142,1758621630351652.5,1357615894663753.2
143,1760117545650468.5,1357615894663753.2
144,1773546466742857.2,1357615894663753.2
145,1745032171674477.8,1357615894663753.2
146,1740276343392548.5,1357615894663753.2
147,1762136968808740.5,1357615894663753.2
148,1771949285366637.8,1357615894663753.2
149,1793903825593490.2,1357615894663753.2
150,1778152094152411.5,1357615894663753.2
151,1741901018281691.5,1357615894663753.2
152,1756550250552173.8,1357615894663753.2
153,1742842336341430.8,1357615894663753.2
154,1778140777920219.5,1357615894663753.2
155,1742783146323382.8,1357615894663753.2
156,1747539733924132.5,1357615894663753.2
157,1752034672452754.2,1357615894663753.2
158,1813461957420178.2,1357615894663753.2
159,1750897518744137.2,1357615894663753.2
160,1865958394167296.0,1357615894663753.2
161,1759384789956315.5,1357615894663753.2
162,1781221483422866.2,1357615894663753.2
163,1757745400699757.8,1357615894663753.2
164,1822716465100507.5,1357615894663753.2
165,2060784920465993.2,1357615894663753.2
166,1745168206734482.2,1357615894663753.2
167,2198217163051593.2,1357615894663753.2
168,1780583650820096.0,1357615894663753.2
169,1744617066201088.0,1357615894663753.2
170,1787853264051053.8,1357615894663753.2
171,1763377268841325.8,1357615894663753.2
172,1872461962711625.2,1357615894663753.2
173,2101547386123995.5,1357615894663753.2
174,1789799869298395.5,1357615894663753.2
175,1749789816239835.5,1357615894663753.2
176,1740180421607424.0,1357615894663753.2
177,1766975092480877.8,1357615894663753.2
178,1760275014203099.5,1357615894663753.2
179,2089484298186166.8,1357615894663753.2
180,1804432289600073.2,1357615894663753.2
181,1751182749391725.8,1357615894663753.2
182,1827492078064201.2,1357615894663753.2
183,1759610200241883.5,1357615894663753.2
184,1759014964990537.2,1357615894663753.2
185,1748366704471478.8,1357615894663753.2
186,2197382437835337.2,1357615894663753.2
187,1802576975176850.2,1357615894663753.2
188,1749982074746587.5,1357615894663753.2
189,1743984674209792.0,1357615894663753.2
190,2016574482865005.8,1357615894663753.2
191,1748255153960667.5,1357615894663753.2
192,1747358022294381.8,1357615894663753.2
193,1750952625906834.2,1357615894663753.2
194,1747108364138203.5,1357615894663753.2
195,1828017868823405.8,1357615894663753.2
196,1813584042824265.2,1357615894663753.2
197,1791007217680384.0,1357615894663753.2
198,1742843267476918.8,1357615894663753.2
199,1865187468509184.0,1357615894663753.2
200,1797833516945993.2,1357615894663753.2
